Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Mean Earnings,Median Earnings
University of Louisville,3,4,Public,Southeast,Large City,0.7112,25,1142,21922,15806,9373,13300,22.12000084,58745.22,45597.5,40200,35800
Midway College,3,4,Private,Southeast,Distant Rural,0.5381,22,1032,33132,6789,5459,16750,28.11000061,49200.78,37808,35900,33700
Morehead State University,3,4,Public,Southeast,Remote Town,0.8449,22,1028,17805,6849,6527,14250,22.72999954,43820.8,32312,30500,28000
Murray State University,3,4,Public,Southeast,Remote Town,0.8217,22,1029,16397,7703,7145,14875,22.20999908,56815.45,46054.5,35700,32300
Northern Kentucky University,3,4,Public,Southeast,Large Suburb,0.467,22,1024,14603,7303,6780,15000,22.48999977,62838.79,53630,35700,32800
University of Pikeville,3,4,Private,Southeast,Remote Town,1,19,909,31005,6567,5588,9500,21.54999924,35649.53,24191,33200,28000
Spalding University,3,4,Private,Southeast,Large City,0.8108,20,952,31021,6502,7132,19118,28.37000084,45742.79,33377.5,44000,40300
Thomas More College,3,4,Private,Southeast,Large Suburb,0.8775,23,1033,36843,6156,6325,19500,25.76000023,71968.41,66017.5,47800,41800
Transylvania University,3,3,Private,Southeast,Large City,0.9615,27,1213,41374,9869,8282,25000,19.45000076,96629.61,82262,39200,36800
Union College,3,4,Private,Southeast,Remote Town,0.7416,22,1007,31769,5609,4540,12250,22.45999908,45542.18,33780.5,31500,28800
Western Kentucky University,3,4,Public,Southeast,Small City,0.9232,22,1009,16538,7807,6983,15000,22.21999931,53605.57,42198.5,33200,30800
Centenary College of Louisiana,3,4,Private,Southeast,Mid-size City,0.6597,25,1131,40578,11545,7159,17125,19.80999947,88894.44,72994,46000,40700
Dillard University,3,3,Private,Southeast,Large City,0.3544,19,884,25343,12462,6288,20000,19.92000008,44677.8,31979,30500,28000
Grambling State University,3,4,Public,Southeast,Distant Town,0.4363,18,863,20881,4912,5794,23750,20.92000008,34278.86,23973,28400,24800
Louisiana State University-Alexandria,3,3,Public,Southeast,Fringe Rural,0.6074,20,950,14276,7400,5298,9000,24.70999908,35477.1,25217,32800,29000
Louisiana State University and Agricultural & Mechanical College,3,4,Public,Southeast,Fringe Rural,0.7623,26,1162,20422,9914,9190,13000,20.54999924,70702.73,52648,49500,42800
Louisiana State University-Shreveport,3,4,Public,Southeast,Mid-size City,0.8349,22,1030,15066,5804,6279,12500,23.45000076,42687.86,28984,36600,32700
Louisiana College,3,4,Private,Southeast,Small Suburb,0.7423,21,968,22940,7234,5513,11750,20.96999931,62856.44,49554.5,40900,37800
Louisiana Tech University,3,4,Public,Southeast,Distant Town,0.6744,24,1089,16983,5668,7055,13632.5,21.48999977,57506.42,43568,43300,37500
Loyola University New Orleans,3,4,Private,Southeast,Large City,0.8707,25,1143,46676,11302,8612,18500,20.77000046,88998.94,72625,43500,40500
McNeese State University,3,4,Public,Southeast,Small City,0.6151,22,1030,14823,4932,6410,12806,22.29999924,47180.78,33535,38300,33000
University of New Orleans,3,4,Public,Southeast,Large City,0.5036,23,1072,16212,8079,7448,11750,22.29999924,40387.97,27630.5,37600,32900
Nicholls State University,3,4,Public,Southeast,Small City,0.8694,22,1030,16071,5318,5785,11555,21.88999939,45301.91,32069.5,36600,32500
University of Louisiana at Monroe,3,4,Public,Southeast,Small City,0.7724,23,1050,14925,5777,6958,12708,22.34000015,43678.01,28606,41600,33700
Northwestern State University of Louisiana,3,4,Public,Southeast,Remote Town,0.84,22,1007,16605,5075,5898,14000,23.13999939,40802.33,27444.5,35000,30100
Our Lady of the Lake College,2,4,Private,Southeast,Mid-size City,0.6615,22,1010,21335,6680,6138,16743.5,25.97999954,46979.39,30253,45400,44700
Southeastern Louisiana University,3,4,Public,Southeast,Small City,0.448,22,1030,15729,5391,6335,11670,21.56999969,46591.28,32109.5,36200,33400
Southern University and A & M College,3,4,Public,Southeast,Mid-size City,0.359,19,890,17928,6369,6158,24250,20.81999969,33242.29,23636,32900,28700
Southern University at New Orleans,3,4,Public,Southeast,Large City,0.4888,17,808,10889,10302,5830,18442,24.86000061,19767.87,16097,28300,26100
University of Louisiana at Lafayette,3,4,Public,Southeast,Mid-size City,0.593,23,1070,15342,4963,7568,13000,21.45999908,50339.7,35091,38800,34600
Tulane University of Louisiana,3,4,Private,Southeast,Large City,0.2643,31,1341,58904,21299,10880,20001,22.81999969,78916.25,45863.5,63600,51200
Xavier University of Louisiana,3,4,Private,Southeast,Large City,0.5443,23,1048,27550,8326,8252,18000,19.70000076,57479.8,38660.5,59100,43200
Bowdoin College,3,3,Private,New England,Fringe Town,0.1495,32,1423,58200,26266,10803,18000,19.26000023,111449.46,89780.5,63000,48600
Colby College,3,3,Private,New England,Remote Town,0.2604,30,1343,57300,20179,11329,18500,19.38999939,124510.95,104003,57000,45700
Husson University,3,4,Private,New England,Small City,0.7989,19,962,25019,6274,6539,21329,22.20000076,54963.01,46670,38600,34600
University of Maine at Fort Kent,3,3,Public,New England,Remote Rural,0.6293,23,908,17314,6771,6429,11500,24.54000092,43698.32,35325,31800,30300
University of Maine at Machias,3,3,Public,New England,Remote Rural,0.854,22,937,17380,7440,5819,11780,23.10000038,41604.11,28802,25900,23100
University of Maine,3,4,Public,New England,Small Suburb,0.8106,24,1085,22461,10058,8755,19200.5,20.77000046,68984.85,60423,41100,36500
Maine Maritime Academy,3,4,Public,New England,Distant Rural,0.6536,22,1026,23673,9613,3639,26596.5,20.06999969,76872.38,68682,82700,73500
University of New England,3,4,Private,New England,Mid-size Suburb,0.8584,24,1057,47931,9692,7900,20955,21.12999916,80354.33,74608,50200,44200
University of Southern Maine,3,4,Public,New England,Small City,0.828,23,1003,22290,9616,8522,17000,22.79999924,60012.65,49417,38300,35000
Thomas College,3,4,Private,New England,Fringe Rural,0.7244,19,895,33792,3782,6177,18059.5,20.20999908,60738.85,55433,35600,33200
Bowie State University,3,4,Public,Mid-Atlantic,Large Suburb,0.5176,19,886,18581,6996,7393,16500,21.25,57366.51,45228,45300,42600
Capitol College,3,4,Private,Mid-Atlantic,Large Suburb,0.5903,21,1042,30826,4888,4275,13250,22.90999985,66227.27,53209,65400,65400
Frostburg State University,3,4,Public,Mid-Atlantic,Small Suburb,0.5945,20,963,19454,6658,6570,16750,20.29000092,78080.06,68365.5,40500,38500
Hood College,3,4,Private,Mid-Atlantic,Small City,0.8102,22,1030,45230,8787,7078,22375,21.37000084,80494.07,72812,43300,40000
Johns Hopkins University,3,4,Private,Mid-Atlantic,Large City,0.1813,32,1418,58980,75570,10922,17500,22.92000008,83968.47,57761.5,73800,64400
Loyola University Maryland,3,4,Private,Mid-Atlantic,Large City,0.58,27,1194,56736,11584,8346,26000,19.36000061,134101.78,112164,64000,56400
University of Maryland-Baltimore County,3,4,Public,Mid-Atlantic,Large Suburb,0.6315,27,1209,22024,9852,8985,17500,21.37999916,73930.94,59891,50700,46900
University of Maryland Eastern Shore,3,4,Public,Mid-Atlantic,Fringe Town,0.5502,18,871,20587,8823,7299,18071,20.20000076,51710.12,40227,35900,32800
Morgan State University,3,4,Public,Mid-Atlantic,Large City,0.5757,18,893,20108,9025,7430,22907,20.68000031,51957.78,40263.5,35600,34100
Mount St Mary's University,3,4,Private,Mid-Atlantic,Fringe Town,0.6741,20,1060,45896,8691,7121,19500,20.38999939,107762.06,98879,50200,47100
Notre Dame of Maryland University,3,4,Private,Mid-Atlantic,Large City,0.4964,22,1036,41871,10035,7064,21732.5,27.38999939,69516.08,56669,47900,45600
Salisbury University,3,4,Public,Mid-Atlantic,Small Suburb,0.5494,24,1145,20916,6654,6688,16250,20.54999924,94182.53,87919.5,46000,44100
St Mary's College of Maryland,3,4,Public,Mid-Atlantic,Small Suburb,0.7204,28,1221,29174,13542,6981,19130,19.67000008,107725.72,103581.5,44300,42900
Towson University,3,4,Public,Mid-Atlantic,Small City,0.6034,23,1078,21596,5906,6670,15750,20.88999939,82801.58,71279.5,47700,45700
Stevenson University,3,4,Private,Mid-Atlantic,Fringe Rural,0.5959,21,990,38785,8585,9724,18197.5,21.07999992,83267.03,77520,47900,45800
Washington College,3,4,Private,Mid-Atlantic,Distant Town,0.6655,27,1168,52243,12924,7927,25000,19.27000046,123228.4,108663.5,45100,40800
McDaniel College,3,4,Private,Mid-Atlantic,Small Suburb,0.7587,24,1105,45866,8839,7035,22000,19.78000069,97433.64,89429,46100,42000
American International College,3,4,Private,New England,Mid-size City,0.6779,19,885,40803,4924,5700,20726,22.63999939,60826.01,49259,40000,36100
Amherst College,3,3,Private,New England,Large Suburb,0.1428,32,1434,59060,23275,11690,10453,19.32999992,107166.93,85922,71100,54000
Babson College,3,4,Private,New England,Large Suburb,0.2821,28,1258,58450,13960,14952,27000,20.28000069,104940.77,80987,83200,74700
Bay Path College,3,4,Private,New England,Large Suburb,0.576,20,964,40447,6148,7754,18065,27.28000069,57186.55,45278,39800,37500
Becker College,3,3,Private,New England,Mid-size City,0.6255,22,1006,44041,5832,7308,15750,24.10000038,65321.14,54112,40800,36300
Bentley University,3,4,Private,New England,Small City,0.4379,28,1234,54806,13149,12158,26000,19.65999985,105823.11,93494,71600,69000
Boston College,3,4,Private,New England,Small City,0.3222,32,1375,58639,18302,13355,19000,20.60000038,103787.15,81102,78700,61800
Boston University,3,4,Private,New England,Large City,0.4561,28,1279,59036,27281,12360,25500,19.95000076,106244,91507,60000,53600
Brandeis University,3,4,Private,New England,Small City,0.3704,30,1347,58850,14309,11328,26000,19.48999977,113024.02,97995,54600,47400
Bridgewater State University,3,4,Public,New England,Large Suburb,0.786,22,991,19303,5426,8315,19250,21.04000092,77015.48,72560,40000,39100
Curry College,3,4,Private,New England,Large Suburb,0.6692,18,931,47519,9905,8319,18625,21.79000092,83511.34,74416,45600,41900
Dean College,2,3,Private,New England,Large Suburb,0.6835,17,845,46673,7527,6102,9500,20.01000023,86288.39,74995,31600,29200
Emerson College,3,4,Private,New England,Large City,0.4798,28,1240,51158,9283,9204,21500,19.67000008,108523.09,94808,42600,38900
Emmanuel College,3,4,Private,New England,Large City,0.6049,24,1090,49487,7555,8155,24250,20.63999939,91299.92,81534,43800,42200
Endicott College,3,4,Private,New England,Large Suburb,0.7165,23,1070,44177,5860,8415,23250,19.87000084,112351.07,109499.5,45500,43800
Fitchburg State University,3,4,Public,New England,Mid-size Suburb,0.7211,20,987,17686,7938,8371,15529.5,21.27000046,75368.32,70609.5,40000,38700
Framingham State University,3,4,Public,New England,Small City,0.5167,22,1040,21402,5080,7977,15522.5,20.76000023,78825.5,72222.5,41500,40200
Gordon College,3,4,Private,New England,Large Suburb,0.4133,26,1156,43140,9906,7783,23000,19.37000084,97646.34,88787,38300,36700
Harvard University,3,4,Private,New England,Mid-size City,0.0584,34,1501,57950,47083,17861,7500,23.64999962,60645.79,33323.5,118700,77600
Lasell College,3,4,Private,New England,Small City,0.7614,21,974,43854,6324,7409,23000,19.47999954,86819.79,77869,36600,34600
Lesley University,3,4,Private,New England,Mid-size City,0.6749,24,1065,47788,9092,7838,19500,24.89999962,70943.6,55849,34700,33200
University of Massachusetts-Lowell,3,4,Public,New England,Large Suburb,0.6397,25,1132,22861,10446,11296,19500,22,70116.7,61757,48300,45600
University of Massachusetts-Amherst,3,4,Public,New England,Large Suburb,0.6294,27,1209,25665,12988,11354,21500,20.59000015,85910.2,75270.5,46800,43500
MCPHS University,3,4,Private,New England,Large City,0.8921,24,1094,43966,9840,8066,25000,22.25,75646.39,61624,102300,113100
Massachusetts College of Art and Design,3,4,Public,New England,Large City,0.6982,25,1081,25384,11176,9403,22500,21.47999954,74521.53,60374,33900,30200
Massachusetts Institute of Technology,3,4,Private,New England,Mid-size City,0.0815,34,1503,57010,58223,15617,13000,21.01000023,95848.89,79076,125100,86900
Massachusetts Maritime Academy,3,4,Public,New England,Mid-size Suburb,0.7726,22,1051,22420,9178,7967,23250,19.82999992,89790.92,86279,75200,67500
Mount Ida College,3,4,Private,New England,Small City,0.6065,18,880,41565,8163,6336,19000,20.52000046,74459.36,61177,36000,32600
Nichols College,3,4,Private,New England,Large Suburb,0.8047,21,940,44886,4681,5479,15782.5,20.13999939,87096.01,81300.5,44600,41900
Massachusetts College of Liberal Arts,3,4,Public,New England,Fringe Town,0.672,23,1032,20025,8508,8113,18499,21.87000084,64872.32,56421.5,32200,29500
Northeastern University,3,4,Private,New England,Large City,0.3231,32,1394,55914,13078,11581,25759.5,20.93000031,99407.61,83394,60600,56400
College of Our Lady of the Elms,3,4,Private,New England,Large Suburb,0.7492,19,928,40802,6539,6340,22160.5,23.69000053,71994.52,71106.5,42900,41300
Regis College,3,4,Private,New England,Large Suburb,0.7243,21,954,47432,7977,7055,24500,21.70999908,68233.94,55309,44900,41000
Salem State University,3,4,Public,New England,Large Suburb,0.6929,22,986,20601,7761,8765,19415,21.75,63800.47,51386,40400,37600
Simmons College,3,4,Private,New England,Large City,0.4897,26,1149,51093,12373,8098,25000,21.30999947,81764.35,67781,48400,46500
Springfield College,3,4,Private,New England,Mid-size City,0.6992,23,1029,44829,10324,8240,20500,28.63999939,66949.79,50430,43600,39900
University of Massachusetts-Dartmouth,3,4,Public,New England,Mid-size Suburb,0.7213,23,1061,23763,10528,10405,19500,20.69000053,77381.8,69531.5,42600,41100
Stonehill College,3,3,Private,New England,Large Suburb,0.7091,25,1133,50677,12896,8602,26000,19.48999977,123576.33,116545,57300,51700
Suffolk University,3,4,Private,New England,Large City,0.825,23,1014,45280,9244,8494,21032,20.51000023,79950.51,64594,50900,46000
Tufts University,3,4,Private,New England,Large Suburb,0.1884,32,1428,58752,21026,11427,17300,21.42000008,86991.55,64738,69000,57400
Wellesley College,3,3,Private,New England,Large Suburb,0.2911,31,1399,57164,32790,12025,8000,19.87999916,91334.36,74657,58000,52800
Wentworth Institute of Technology,3,4,Private,New England,Large City,0.5761,24,1109,43850,8790,8039,21700,20.34000015,89672.88,81863,53300,52100
Western New England University,3,4,Private,New England,Mid-size City,0.8151,24,1077,45850,9876,9269,20159,19.94000053,94324.16,87684,53100,48400
Westfield State University,3,4,Public,New England,Large Suburb,0.7487,20,995,19468,7042,8356,16250,20.43000031,81421.39,78180,41100,39300
Wheelock College,3,4,Private,New England,Large City,0.7318,22,996,45591,13033,6999,25859,21.35000038,77936.29,65102,34500,35300
Williams College,3,4,Private,New England,Fringe Town,0.1702,32,1439,59412,39164,12027,11248,19.32999992,106459.04,88403.5,61400,46400
Worcester State University,3,4,Public,New England,Mid-size City,0.6062,22,1016,18494,6536,8356,14500,21.59000015,71596.51,62776.5,41800,39700
Adrian College,3,3,Private,Great Lakes,Distant Town,0.5628,22,1007,40199,7091,7453,14250,19.62999916,77959.35,71008.5,35000,33800
Albion College,3,3,Private,Great Lakes,Fringe Town,0.5639,25,1143,45690,11574,6969,22500,19.20999908,95788.54,85027.5,46500,40800
Alma College,3,3,Private,Great Lakes,Distant Town,0.6791,25,1100,43157,9213,7256,21500,19.51000023,86192.91,74312,40800,38000
Andrews University,3,4,Private,Great Lakes,Fringe Town,0.3751,23,1070,33653,11640,4961,23000,21.67000008,60803.03,53737,38900,33400
Aquinas College,3,4,Private,Great Lakes,Mid-size City,0.7135,24,1090,34593,6032,5972,19474,21.71999931,76310.3,72085,35200,31200
Calvin College,3,4,Private,Great Lakes,Mid-size City,0.6975,26,1183,39013,13845,7208,22500,19.65999985,97807.66,93258,41100,38100
Central Michigan University,3,4,Public,Great Lakes,Distant Town,0.6304,22,1029,21523,8249,8603,21721.5,21,77212.89,70233.5,39200,36100
Cleary University,3,4,Private,Great Lakes,Mid-size City,0.7263,21,976,17823,4903,5403,20832,31,66171.19,55340,52000,47800
College for Creative Studies,3,4,Private,Great Lakes,Large City,0.486,22,1010,46095,10845,6882,24000,21.35000038,79319.28,65746,39700,33200
University of Detroit Mercy,3,4,Private,Great Lakes,Large City,0.6147,25,1142,48027,14080,8667,19300,24.95999908,58134.97,44772,48200,43000
Eastern Michigan University,3,4,Public,Great Lakes,Large Suburb,0.6398,22,1011,18905,8307,8853,19114.5,22.51000023,64529.91,52069,36800,33800
Ferris State University,3,4,Public,Great Lakes,Remote Town,0.759,22,1010,21498,8696,7942,17562,21.87000084,67189.85,59172,42400,38400
Kettering University,3,4,Private,Great Lakes,Mid-size City,0.6159,27,1198,49303,11438,7704,22500,19.84000015,88987.34,83977,66200,69900
Cornerstone University,3,4,Private,Great Lakes,Mid-size City,0.6807,24,1084,33912,6292,5537,17750,27.26000023,64075.53,55078,35600,32800
Grand Valley State University,3,4,Public,Great Lakes,Large Suburb,0.826,24,1090,21512,7728,7816,20898.5,20.79999924,78034.29,72885.5,39600,36900
Hope College,3,3,Private,Great Lakes,Small City,0.7253,27,1204,38593,9281,7591,25000,19.45000076,107260.41,91493,41400,39700
Kalamazoo College,3,3,Private,Great Lakes,Small City,0.6689,28,1240,48547,14477,7991,24000,19.21999931,108955.67,97614,47000,41400
Lake Superior State University,3,4,Public,Great Lakes,Remote Town,0.9183,23,1050,19571,7640,6061,16563,22.44000053,56752.05,48687,36300,32600
Lawrence Technological University,3,4,Private,Great Lakes,Small City,0.4365,25,1145,39890,10272,7585,21500,22.10000038,74787.91,63620,51700,50000
Madonna University,3,4,Private,Great Lakes,Small City,0.6125,22,1034,22629,7282,7554,21733,27.43000031,58679.09,41119.5,39200,36300
Marygrove College,3,4,Private,Great Lakes,Large City,0.9378,16,780,25733,8504,6431,16750,28.68000031,31358.87,20826,29100,25300
Rochester College,3,4,Private,Great Lakes,Large Suburb,0.6567,21,990,26399,5507,4144,14089.5,27.48999977,60476.32,43866,34300,30300
University of Michigan-Ann Arbor,3,4,Public,Great Lakes,Mid-size City,0.3326,30,1352,25760,22051,10509,21000,20.87999916,87306.5,69630,65900,53400
Michigan State University,3,4,Public,Great Lakes,Small City,0.6865,26,1158,23740,14386,10614,22734,20.20000076,87289.4,78152,51900,46800
Michigan Technological University,3,4,Public,Great Lakes,Remote Town,0.7659,27,1206,24724,11415,9142,21812,19.92000008,82033.18,76868.5,56700,57400
University of Michigan-Dearborn,3,4,Public,Great Lakes,Small City,0.6284,25,1125,15831,9628,8640,18750,23.45999908,53031.88,38952,46800,42900
University of Michigan-Flint,3,4,Public,Great Lakes,Mid-size City,0.7809,21,993,16731,7620,7606,21176,25.06999969,53715.44,38562,39400,36700
Northern Michigan University,3,4,Public,Great Lakes,Remote Town,0.7313,22,1030,18466,6506,7442,14601,21.34000015,65244.05,57707,34100,30800
Northwood University-Michigan,3,4,Private,Great Lakes,Small City,0.6538,22,1029,32803,5977,6534,18750,25.45999908,63920.59,49456,45500,40800
Oakland University,3,4,Public,Great Lakes,Large Suburb,0.66,23,1070,19198,7570,8482,18250,22.19000053,68721.79,56986,41500,37900
Olivet College,3,4,Private,Great Lakes,Distant Rural,0.5148,20,927,31515,5069,5258,19000,20.37000084,64499.03,57515,33600,31000
Kuyper College,3,4,Private,Great Lakes,Large Suburb,0.6842,22,1008,26213,9926,5270,18500,22.25,69001.93,60731,27700,27300
Saginaw Valley State University,3,4,Public,Great Lakes,Fringe Rural,0.7865,21,990,17876,6129,7489,19000,22.38999939,61890.64,51643,37300,35000
Siena Heights University,3,4,Private,Great Lakes,Distant Town,0.6765,21,990,31980,5261,5676,15328,26.89999962,58057.31,48925,37900,34500
Spring Arbor University,3,4,Private,Great Lakes,Small Suburb,0.6505,23,1069,32709,6679,4953,20729,28.61000061,62085.86,55009.5,39100,34800
Finlandia University,3,3,Private,Great Lakes,Remote Town,0.5883,20,930,29377,7809,4912,20755,22.31999969,55678.67,41922.5,29500,25500
Wayne State University,3,4,Public,Great Lakes,Large City,0.7624,23,1050,20199,13146,9689,16000,23.45000076,44037.59,30304.5,45800,36700
Western Michigan University,3,4,Public,Great Lakes,Small City,0.8285,22,1030,22483,9354,9016,20875,20.37000084,81449.44,74325,41600,37900
Augsburg College,3,4,Private,Great Plains,Large City,0.6086,23,1053,42531,9476,6868,23000,24.37999916,74730.25,60818,45400,41300
Bemidji State University,3,4,Public,Great Plains,Remote Town,0.6678,21,990,18166,5452,7669,13500,23.07999992,63423.26,53717,37600,35100
Bethany Lutheran College,3,3,Private,Great Plains,Small City,0.7458,23,1070,32531,10189,4764,16450,20.03000069,76327.08,68546.5,32700,31400
Bethel University,3,4,Private,Great Plains,Large Suburb,0.9485,25,1144,42692,9233,7577,20500,22.48999977,96452.1,82520,45700,41100
Carleton College,3,3,Private,Great Plains,Distant Town,0.2095,31,1406,58275,26533,10669,16644,19.39999962,104347.16,91175.5,52600,42700
Concordia College at Moorhead,3,4,Private,Great Plains,Mid-size Suburb,0.7998,25,1144,39803,10209,4889,24500,19.68000031,91300.58,84068,42500,39100
Concordia University-Saint Paul,3,4,Private,Great Plains,Large City,0.5239,21,991,40267,5381,4358,16667,26.18000031,66177.34,57993.5,50100,44700
Martin Luther College,3,4,Private,Great Plains,Distant Town,0.9617,25,1125,20740,6768,4436,14999,19.88999939,70328.43,63952,36500,35400
Gustavus Adolphus College,3,3,Private,Great Plains,Fringe Town,0.6322,27,1224,48422,14254,7179,26000,19.44000053,108308.7,93107,45800,42400
Hamline University,3,4,Private,Great Plains,Large City,0.6557,24,1106,43433,7717,6607,18250,22.78000069,71451.3,61451,47800,43100
Macalester College,3,3,Private,Great Plains,Large City,0.3416,31,1350,55393,17781,9450,21996.5,19.37999916,93155.63,85439.5,45600,38900
Minnesota State University-Mankato,3,4,Public,Great Plains,Small City,0.6555,22,1030,17578,5706,8155,15116,20.79999924,76286.68,71852,41000,38100
University of Minnesota-Twin Cities,3,4,Public,Great Plains,Large City,0.4442,28,1270,24278,13003,10892,18822,20.87000084,80969.01,72908.5,49500,43300
University of Minnesota-Crookston,3,3,Public,Great Plains,Distant Town,0.6916,22,1004,21549,5804,6497,14370,21.80999947,59974.63,56026,41100,38000
Minneapolis College of Art and Design,3,4,Private,Great Plains,Large City,0.5895,23,1073,41935,12814,6334,21166,20.97999954,85830.17,77197,33200,27500
University of Minnesota-Duluth,3,4,Public,Great Plains,Small City,0.7822,24,1109,22796,6299,7487,18925,20.34000015,87902.82,83294.5,45300,39900
University of Minnesota-Morris,3,3,Public,Great Plains,Remote Town,0.5764,26,1168,22853,8451,6597,14768,20.20000076,76388.28,71476,37400,34500
Minnesota State University-Moorhead,3,4,Public,Great Plains,Mid-size Suburb,0.8911,23,1049,18028,6745,7781,15772,21.10000038,68582.76,64384,37200,34500
North Central University,3,3,Private,Great Plains,Large City,0.9521,23,1044,28800,5608,7177,19500,20.42000008,67616.56,60825,30700,28700
University of Northwestern-St Paul,3,4,Private,Great Plains,Large Suburb,0.6915,25,1126,37803,7118,6078,18636.5,23.36000061,73387.27,65093,35700,32100
Oak Hills Christian College,3,3,Private,Great Plains,Remote Town,0.5873,20,930,25300,7682,4095,12000,21.79999924,48767.6,43608.5,27400,21000
College of Saint Benedict,3,3,Private,Great Plains,Mid-size Suburb,0.7554,26,1157,47734,10965,8036,23250,19.45000076,105916,94964,47700,45200
Saint Cloud State University,3,4,Public,Great Plains,Small City,0.8691,22,1010,17892,6521,8224,15348,21.38999939,72449.18,66431,41500,38700
Saint Johns University,3,4,Private,Great Plains,Fringe Rural,0.7516,26,1155,46397,12673,7899,23150,19.54999924,110742.05,99495,55000,51100
Saint Mary's University of Minnesota,3,4,Private,Great Plains,Distant Town,0.7485,23,1068,38470,5196,6585,18054,22.94000053,84470.77,75332,43300,39300
St Olaf College,3,3,Private,Great Plains,Distant Town,0.5919,29,1290,50550,16054,8527,25000,19.44000053,118248.44,98006,46000,40200
Crown College,3,4,Private,Great Plains,Fringe Rural,0.55,21,983,34574,3243,4584,14625,26.23999977,61329.29,53587.5,33300,30000
The College of Saint Scholastica,3,4,Private,Great Plains,Small City,0.7265,24,1085,40685,7878,6904,19310.5,24.05999947,71064.65,63879,49300,46300
University of St Thomas,3,4,Private,Great Plains,Large City,0.8617,26,1165,48421,12539,9892,22250,20.12000084,110915.07,96397,52500,48100
St Catherine University,3,4,Private,Great Plains,Large City,0.6089,23,1051,43356,9805,6737,22697,25.26000023,66972.65,52083.5,46500,43700
Southwest Minnesota State University,3,4,Public,Great Plains,Remote Town,0.6546,22,1010,19109,5187,8030,15750,21.85000038,62197.6,56016,36600,34900
Winona State University,3,4,Public,Great Plains,Distant Town,0.6075,23,1070,20449,6161,7570,18288,20.70999908,82392.18,80304,41200,39000
Alcorn State University,3,4,Public,Southeast,Remote Rural,0.8291,18,851,20330,7261,6431,19696.5,22.82999992,30021.21,21250,29600,26200
Belhaven University,3,4,Private,Southeast,Mid-size City,0.4842,22,1033,33375,4341,4327,19500,29.38999939,50301.32,36084,36900,33100
Blue Mountain College,3,4,Private,Southeast,Distant Rural,0.5573,22,1007,16926,6650,4550,12750,24.45000076,43147.05,34940,27900,28400
Delta State University,3,4,Public,Southeast,Remote Town,0.8941,20,950,17749,7987,5908,12500,22.93000031,40481.95,25297.5,34900,32000
Jackson State University,3,4,Public,Southeast,Mid-size City,0.6464,19,910,18724,8323,6761,23750,23.13999939,29677.48,21113,29300,26000
Millsaps College,3,4,Private,Southeast,Mid-size City,0.4745,26,1159,44435,13004,6984,21750,20.15999985,79495.99,65693,41300,38900
University of Mississippi,3,4,Public,Southeast,Remote Town,0.5936,24,1100,21526,9350,8409,15750,22.14999962,68842.41,46826.5,46900,37900
Mississippi University for Women,3,4,Public,Southeast,Remote Town,0.4349,21,995,15935,6017,5914,14000,24.12999916,38199.88,26756,35300,31400
Mississippi Valley State University,3,4,Public,Southeast,Remote Town,0.2272,17,825,17758,8408,5621,20969,23.63999939,21921.99,17447,24000,21000
Mississippi College,3,4,Private,Southeast,Large Suburb,0.673,24,1098,25976,8024,7079,16625,23.56999969,54620.08,37912,39900,35800
Mississippi State University,3,4,Public,Southeast,Remote Town,0.6482,24,1106,20796,6989,7852,15500,21.80999947,57616.67,41243.5,41900,36800
Pearl River Community College,2,2,Public,Southeast,Remote Rural,0.8566,21,970,5285,8104,6333,5500,23.98999977,23755.51,17254.5,29600,25500
Rust College,3,3,Private,Southeast,Distant Town,0.1386,14,666,14466,4684,4521,9000,20.92000008,26386.75,19293,22500,20600
University of Southern Mississippi,3,4,Public,Southeast,Small City,0.6631,24,1082,18781,7858,7109,16600,22.63999939,44439.03,29062,37700,33200
Tougaloo College,3,3,Private,Southeast,Mid-size City,0.3551,18,864,20179,5739,4683,23537,20.44000053,35243.71,24466,25400,23500
William Carey University,3,4,Private,Southeast,Small City,0.4877,24,1105,23962,6338,5888,18375,24.52000046,36120.41,25265,36600,32500
Avila University,3,4,Private,Great Plains,Large City,0.6108,22,1028,34898,6943,6747,18750,23.76000023,67407.58,53028,42300,39500
Calvary Bible College and Theological Seminary,3,4,Private,Great Plains,Large City,0.8696,22,1033,18781,5698,3907,15000,25.31999969,43973.85,35748,31800,30500
Central Methodist University-College of Liberal Arts and Sciences,3,3,Private,Great Plains,Distant Town,0.6506,22,1006,32000,9279,5697,12580,24.29000092,55714.2,44654,34900,31500
University of Central Missouri,3,4,Public,Great Plains,Distant Town,0.8083,21,990,18355,7801,6867,15296,21.79000092,64575.93,56271,37000,33100
Cottey College,2,3,Private,Great Plains,Remote Town,0.7063,22,1021,26065,19770,6393,11781.5,19.47999954,70612.51,66420.5,27900,26100
Culver-Stockton College,3,3,Private,Great Plains,Remote Rural,0.5926,21,972,33741,6916,5609,15500,20.89999962,65176.6,59583,35500,33100
Drury University,3,4,Private,Great Plains,Mid-size City,0.8095,25,1146,32556,6799,7024,16000,26.15999985,44503.69,31562.5,32200,29300
Evangel University,3,4,Private,Great Plains,Mid-size City,0.6425,23,1046,30988,6543,6433,16000,21.57999992,67444.26,58776,35900,32400
